title,pubDate,guid,link,description
Barca come from behind to beat Real and take Women's Champions League first-leg advantage,"Tue, 22 Mar 2022 22:00:19 GMT",https://www.bbc.co.uk/sport/football/60840604,https://www.bbc.co.uk/sport/football/60840604?at_medium=RSS&at_campaign=KARANGA,Barcelona score two late goals as they come from behind to beat rivals Real Madrid and take the first-leg advantage in their Champions League quarter-final tie.
Pogba's World Cup medal was stolen in burglary,"Tue, 22 Mar 2022 23:45:32 GMT",https://www.bbc.co.uk/sport/football/60843380,https://www.bbc.co.uk/sport/football/60843380?at_medium=RSS&at_campaign=KARANGA,Manchester United midfielder Paul Pogba says burglars stole his World Cup winner's medal when they broke into his home.
Chancellor Rishi Sunak to deliver Spring Statement amid price pressures,"Wed, 23 Mar 2022 00:24:44 GMT",https://www.bbc.co.uk/news/uk-politics-60838493,https://www.bbc.co.uk/news/uk-politics-60838493?at_medium=RSS&at_campaign=KARANGA,The chancellor will give his economic update to the Commons as the cost of living crisis continues.
How could the Chancellor's plans affect you?,"Mon, 21 Mar 2022 14:02:58 GMT",https://www.bbc.co.uk/news/business-60819205,https://www.bbc.co.uk/news/business-60819205?at_medium=RSS&at_campaign=KARANGA,The Ukraine war and rising living prices means Rishi Sunak faces pressure to take fresh action to help.
Cost of living: 'It feels like I'm being priced out of existence',"Tue, 22 Mar 2022 12:42:18 GMT",https://www.bbc.co.uk/news/uk-60820705,https://www.bbc.co.uk/news/uk-60820705?at_medium=RSS&at_campaign=KARANGA,Some disabled people say they are switching off their heating to cope with spiralling energy bills.
Cost of living: Calls for targeted help to cut energy bills,"Fri, 18 Mar 2022 22:42:40 GMT",https://www.bbc.co.uk/news/business-60796131,https://www.bbc.co.uk/news/business-60796131?at_medium=RSS&at_campaign=KARANGA,"Millions of people may have to spend less on food and clothing to afford higher bills, an energy boss says."
Spring Statement: Rishi Sunak seeks to combat cost-of-living squeeze,"Wed, 23 Mar 2022 23:05:03 GMT",https://www.bbc.co.uk/news/uk-politics-60848315,https://www.bbc.co.uk/news/uk-politics-60848315?at_medium=RSS&at_campaign=KARANGA,The chancellor cuts fuel duty and eases National Insurance rise but soaring prices threaten tough times.
Western leaders to unite for Ukraine,"Thu, 24 Mar 2022 04:31:13 GMT",https://www.bbc.co.uk/news/world-europe-60849917,https://www.bbc.co.uk/news/world-europe-60849917?at_medium=RSS&at_campaign=KARANGA,"President Joe Biden joins leaders of Nato, the EU and G7 in response to the invasion of Ukraine."
Prince William expresses 'profound sorrow' over slavery in Jamaica speech,"Thu, 24 Mar 2022 04:01:18 GMT",https://www.bbc.co.uk/news/uk-60856763,https://www.bbc.co.uk/news/uk-60856763?at_medium=RSS&at_campaign=KARANGA,"The Duke of Cambridge condemns the slave trade, saying it ""forever stains"" the UK's history."
Ashleigh Barty: Retiring world number one says 'wait and see' on plans,"Thu, 24 Mar 2022 05:43:39 GMT",https://www.bbc.co.uk/news/world-australia-60857013,https://www.bbc.co.uk/news/world-australia-60857013?at_medium=RSS&at_campaign=KARANGA,"World number one Ashleigh Barty tells people to ""wait and see"" about her next move following her shock retirement at the age of 25."
Ukraine war: Russian journalist Oksana Baulina killed in Kyiv shelling,"Wed, 23 Mar 2022 20:53:54 GMT",https://www.bbc.co.uk/news/world-europe-60855732,https://www.bbc.co.uk/news/world-europe-60855732?at_medium=RSS&at_campaign=KARANGA,Oksana Baulina died while filming destruction caused by Russian shelling in a Kyiv neighbourhood.
China plane crash: Human remains found amid wreckage,"Thu, 24 Mar 2022 03:54:16 GMT",https://www.bbc.co.uk/news/world-asia-china-60856854,https://www.bbc.co.uk/news/world-asia-china-60856854?at_medium=RSS&at_campaign=KARANGA,"The China Eastern plane was carrying 132 people, and there has been no sign of survivors so far."
Jeffrey Epstein's private islands put up for sale,"Thu, 24 Mar 2022 05:09:29 GMT",https://www.bbc.co.uk/news/business-60856925,https://www.bbc.co.uk/news/business-60856925?at_medium=RSS&at_campaign=KARANGA,The financier was accused of sexually abusing girls on one of the two Caribbean islands on sale.
Ukraine war: Fortnite owner Epic Games raises £37m for humanitarian efforts,"Thu, 24 Mar 2022 00:48:21 GMT",https://www.bbc.co.uk/news/technology-60850729,https://www.bbc.co.uk/news/technology-60850729?at_medium=RSS&at_campaign=KARANGA,"Video game developers, publishers and players come together to raise millions for Ukraine."
Madeleine Albright: First female US secretary of state dies,"Wed, 23 Mar 2022 21:04:19 GMT",https://www.bbc.co.uk/news/world-us-canada-60855139,https://www.bbc.co.uk/news/world-us-canada-60855139?at_medium=RSS&at_campaign=KARANGA,Tributes are paid to the Czech immigrant who was the first woman to become the top US diplomat.
Doubt over PM claim that P&O sackings may be illegal,"Wed, 23 Mar 2022 20:46:00 GMT",https://www.bbc.co.uk/news/business-60849957,https://www.bbc.co.uk/news/business-60849957?at_medium=RSS&at_campaign=KARANGA,There is doubt over a Boris Johnson claim that P&O Ferries may have broken a law by sacking 800 staff suddenly.
"Boris Becker offered his wedding ring to pay debts, court told","Wed, 23 Mar 2022 16:50:20 GMT",https://www.bbc.co.uk/news/uk-60847940,https://www.bbc.co.uk/news/uk-60847940?at_medium=RSS&at_campaign=KARANGA,"The former tennis star, who was declared bankrupt in 2017, is accused of failing to hand over assets."
Julian Assange: Wikileaks founder gets married in Belmarsh prison,"Wed, 23 Mar 2022 17:46:35 GMT",https://www.bbc.co.uk/news/uk-60852832,https://www.bbc.co.uk/news/uk-60852832?at_medium=RSS&at_campaign=KARANGA,The Wikileaks founder is being held in the high-security prison while the US seeks to extradite him.
"Orchards vanishing from the landscape, says National Trust","Thu, 24 Mar 2022 00:50:24 GMT",https://www.bbc.co.uk/news/science-environment-60834796,https://www.bbc.co.uk/news/science-environment-60834796?at_medium=RSS&at_campaign=KARANGA,"Orchards are in big decline, with an area the size of the Isle of Wight lost since 1900, research finds."
Ukraine war: BBC World Service granted extra funding,"Wed, 23 Mar 2022 22:44:17 GMT",https://www.bbc.co.uk/news/uk-60852833,https://www.bbc.co.uk/news/uk-60852833?at_medium=RSS&at_campaign=KARANGA,The government grants more than £4m to the World Service to help fight Russian disinformation.
How Rishi Sunak's Spring Statement will affect you,"Wed, 23 Mar 2022 15:35:00 GMT",https://www.bbc.co.uk/news/business-60819205,https://www.bbc.co.uk/news/business-60819205?at_medium=RSS&at_campaign=KARANGA,"Surging prices, National Insurance changes and fuel duty cuts - the impact on your finances explained."
How much is fuel duty and what will the cut on petrol save you?,"Wed, 23 Mar 2022 14:03:27 GMT",https://www.bbc.co.uk/news/business-52188448,https://www.bbc.co.uk/news/business-52188448?at_medium=RSS&at_campaign=KARANGA,UK fuel prices are at record highs and there are calls for the government to act.
Spring Statement: Key points at a glance,"Wed, 23 Mar 2022 18:31:51 GMT",https://www.bbc.co.uk/news/business-60849054,https://www.bbc.co.uk/news/business-60849054?at_medium=RSS&at_campaign=KARANGA,The chancellor laid out his Spring Statement amid a cost of living squeeze. Here's what you should know.
BBC editors react to Sunak's 2022 Spring Statement,"Wed, 23 Mar 2022 15:00:20 GMT",https://www.bbc.co.uk/news/uk-politics-60838862,https://www.bbc.co.uk/news/uk-politics-60838862?at_medium=RSS&at_campaign=KARANGA,"Laura Kuenssberg, Faisal Islam and Simon Jack review the headlines and reaction to the chancellor's update on the UK economy."
People face biggest drop in living standards since 1956,"Wed, 23 Mar 2022 18:21:18 GMT",https://www.bbc.co.uk/news/business-60846951,https://www.bbc.co.uk/news/business-60846951?at_medium=RSS&at_campaign=KARANGA,"Wages will lag soaring prices meaning the biggest drop in standards since 1956, says the OBR."
What is the UK's inflation rate and why is the cost of living going up?,"Wed, 23 Mar 2022 17:40:17 GMT",https://www.bbc.co.uk/news/business-12196322,https://www.bbc.co.uk/news/business-12196322?at_medium=RSS&at_campaign=KARANGA,UK inflation is rising at its fastest rate for 30 years and the government's forecaster predicts it could climb to a 40-year high.
Is Rishi Sunak a tax-cutter?,"Wed, 23 Mar 2022 01:55:02 GMT",https://www.bbc.co.uk/news/uk-politics-60840031,https://www.bbc.co.uk/news/uk-politics-60840031?at_medium=RSS&at_campaign=KARANGA,The chancellor says he wants to cut taxes - but figures show how taxes have risen under his watch.
The Papers: 'No heat to eat' as 'Sunak told: slash more taxes',"Wed, 23 Mar 2022 23:24:23 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60856333,https://www.bbc.co.uk/news/blogs-the-papers-60856333?at_medium=RSS&at_campaign=KARANGA,Thursday's front pages respond to Chancellor Rishi Sunak's Spring Statement.
Small business owners: 'We're taking the hit',"Thu, 24 Mar 2022 00:18:12 GMT",https://www.bbc.co.uk/news/business-60852962,https://www.bbc.co.uk/news/business-60852962?at_medium=RSS&at_campaign=KARANGA,Many entrepreneurs are struggling to balance soaring costs and keep their businesses profitable.
War in Ukraine: 'Pets are getting left at train stations',"Wed, 23 Mar 2022 10:27:59 GMT",https://www.bbc.co.uk/news/world-europe-60848142,https://www.bbc.co.uk/news/world-europe-60848142?at_medium=RSS&at_campaign=KARANGA,A photographer from the UK travels to western Ukraine to rescue pets displaced by war.
"Plans for giant, lit-up dome approved for Olympics site","Wed, 23 Mar 2022 15:10:18 GMT",https://www.bbc.co.uk/news/uk-england-london-60848732,https://www.bbc.co.uk/news/uk-england-london-60848732?at_medium=RSS&at_campaign=KARANGA,The controversial sphere will be covered in lights and become one of London's biggest music venues.
Spring Statement: One family's cost of living experience,"Wed, 23 Mar 2022 18:15:15 GMT",https://www.bbc.co.uk/news/uk-60855084,https://www.bbc.co.uk/news/uk-60855084?at_medium=RSS&at_campaign=KARANGA,"The Fords are a busy family and, like many, they’ve noticed the impact of rising prices."
Goldman Sachs boss David Solomon set to DJ Lollapalooza,"Thu, 24 Mar 2022 01:26:47 GMT",https://www.bbc.co.uk/news/business-60854153,https://www.bbc.co.uk/news/business-60854153?at_medium=RSS&at_campaign=KARANGA,US investment banker David Solomon will play Lollapalooza in Chicago alongside acts like Metallica.
Taliban schools U-turn 'a devastating day' for Afghan girls - Malala Yousafzai,"Wed, 23 Mar 2022 17:24:33 GMT",https://www.bbc.co.uk/news/world-asia-60853162,https://www.bbc.co.uk/news/world-asia-60853162?at_medium=RSS&at_campaign=KARANGA,"The Taliban’s U-turn on girls' high schools is heartbreaking, the Nobel Peace Prize laureate says."
'I was shocked to find out I now have four kidneys',"Wed, 23 Mar 2022 06:12:57 GMT",https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-60823397,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-60823397?at_medium=RSS&at_campaign=KARANGA,Transplant patient Stuart Middleton has both his kidneys - along with two he received from donors.
Ash Barty: Australians react to world tennis number one's shock retirement,"Wed, 23 Mar 2022 15:39:12 GMT",https://www.bbc.co.uk/news/world-australia-60850780,https://www.bbc.co.uk/news/world-australia-60850780?at_medium=RSS&at_campaign=KARANGA,"The BBC hears from tennis players in Brisbane, where world number one Ashleigh Barty regular trained."
William Collins: Giant memorial built without permission,"Tue, 22 Mar 2022 18:13:53 GMT",https://www.bbc.co.uk/news/uk-england-south-yorkshire-60838880,https://www.bbc.co.uk/news/uk-england-south-yorkshire-60838880?at_medium=RSS&at_campaign=KARANGA,The huge marble tribute in Sheffield has become a minor attraction - but its future is in doubt.
"Life of Madeleine Albright, the Czech-born US political trailblazer","Wed, 23 Mar 2022 18:56:24 GMT",https://www.bbc.co.uk/news/world-us-canada-48401172,https://www.bbc.co.uk/news/world-us-canada-48401172?at_medium=RSS&at_campaign=KARANGA,"Originally born in Czechoslovakia, Albright became a trailblazer for women on the world stage."
Oscars 2022: Which film might be named fan favourite?,"Thu, 24 Mar 2022 00:04:39 GMT",https://www.bbc.co.uk/news/entertainment-arts-60764010,https://www.bbc.co.uk/news/entertainment-arts-60764010?at_medium=RSS&at_campaign=KARANGA,"Cinderella, Minamata and Sing 2 might not be nominated, but they could be named ""fan favourite""."
Covid boosters: Who is being vaccinated?,"Mon, 21 Mar 2022 10:35:32 GMT",https://www.bbc.co.uk/news/health-55045639,https://www.bbc.co.uk/news/health-55045639?at_medium=RSS&at_campaign=KARANGA,Over-75s and those with a weakened immune system will be offered an extra booster dose this spring.
My Job: 'Covid has made it impossible to switch off',"Thu, 24 Mar 2022 00:14:47 GMT",https://www.bbc.co.uk/news/business-60654969,https://www.bbc.co.uk/news/business-60654969?at_medium=RSS&at_campaign=KARANGA,Ed Kendall qualified as a social worker in 2019 and has started a role focusing on safeguarding.
